Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C2, C3, C4, C5, C6",0402,9,100nF,C1525
"C10, C7",0402,2,10uF,C52923
"C11, C8",0402,2,1uF,C52923
"C15, C16",0402,2,15pF,C1548
D1,D_SOD-123,1,1N5819WS,C191023
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C67380
J5,SOT-23-6,1,Conn_01x06,
"R1, R2",0402,2,27,C25100
"R3, R4",0402,2,5k1,C25905
"R5, R7",0402,2,1k,C11702
R6,0402,1,10k,C25744
"SW1, SW2, SW3",SMD_3x4,3,SW_Push,C455280
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
"U10, U11, U5, U6, U7, U8, U9",LED_WS2812-2020,7,WS2812-2020,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ_TR,C2843335
U4,SOT-23-6,1,USBLC6-2SC6,C5180249
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C9002
